"sample,replicate",Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D
hours,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G34000,-1.005127552,-0.901463542,1.476982885,0.789919638,2.220758495,-0.742055238,-0.698624155,1.1052398,0.132846998,1.366015885,0.292972427,0.485219159,0.006670138,-0.82993173,1.738602218,1.313264155,0.083945015,-0.477393008,2.177633746,0.242573772,1.133350528,1.22888769,1.393029933,0.465553795,-1.003921425,-0.26721549,0.165645398,-0.095232872,0.148251731,0.035439327,-1.114505808,-0.585816411,-0.134497327,0.446273375,-0.258998098,0.749855393,-0.166775795,0.956962893,1.132002069,0.182651869,0.779006533,-1.311019424,-0.306473427,0.660211722,1.461877306,0.575543577,1.069806998,1.25934735,0.979058171,0.325567155,-1.808688444,0.921315383,2.067316096,0.882865347,-0.845872276,0.156729167,0.39274177,2.749548673,0.561850637,0.756027261,0.420067706,1.056686754,0.41173727,0.003678545,-0.981274099,-0.638893861,-0.148354979,-0.359394105,1.40286978,2.051208686,1.297884424,0.058396005,-0.211502284,0.162456073,-0.245224883,-0.220179271,1.269458351,-1.129422837,0.015560604,-0.034130806,1.277857296,0.527890238,0.544121079,0.08915685,1.329090409,0.559651579,-0.029929573,0.962881663,1.055842955,-0.843388236,-1.025874588,0.507841737,1.231199256,0.393389518,0.455946597,1.245182878
AT3G19290,0.131742447,0.72747978,1.318622923,0.008203694,0.542561601,0.48642977,0.632142345,-0.009640591,0.129335948,0.220570777,2.635230249,0.404589518,0.446896105,-0.703054659,0.638971075,-0.097418211,-0.280589158,0.090701496,2.003103963,0.654963398,0.570847207,0.187430998,0.549944829,-0.023141784,0.066418529,0.605970676,0.264830706,-1.370873457,-0.331935549,1.0414812,0.050343944,-0.383840142,0.255802699,0.221353846,1.73608189,0.918692727,0.32980146,-0.998659181,-0.033087871,0.823998864,0.858668927,0.640766351,-1.065774475,0.299269414,1.061679928,-1.024085112,-0.702070035,0.361835789,0.577935602,1.803722919,-1.327068954,-2.091899985,1.46029167,1.565506982,0.304445598,0.419752137,1.186935206,3.487303892,0.24663512,1.240676886,0.911914906,0.765686353,-0.611476677,-0.369718419,0.021728438,-0.309150759,0.512963647,-0.701293124,0.514272424,-0.327810673,-0.667845213,-0.864090136,0.260559348,-0.000144753,-0.355136809,0.282560597,1.014213379,-0.240227459,1.487986375,0.757225335,0.767032226,0.124702391,1.945272035,0.93758533,1.360378843,0.690991966,-0.214592086,0.820397452,1.56166304,0.690160384,-0.341748918,0.481231413,0.743497792,-1.061936224,0.149846322,1.389533313
AT2G40220,0.491480122,0.487647608,-0.925643771,-0.452925714,-0.567622242,-0.366723349,-0.601310745,1.216348869,-0.150605454,-0.885359987,-0.494566022,2.465125362,0.892725742,1.529133445,-0.114105599,-0.35105951,-0.804481157,-0.554373802,0.061641321,-0.626832041,-0.485343068,-1.132618724,-1.580731969,0.076523411,1.030060571,-1.057123036,-0.509709658,-0.839040299,0.366360417,-1.744034301,-0.873093239,-0.255228973,-0.973541225,-0.676899434,-0.923991264,-1.360740154,1.572685779,2.048774027,0.022062372,0.901200043,0.375932259,-0.334981696,-0.744083439,0.271983785,-0.532212122,-0.130050525,-0.931635022,0.020132918,0.084578941,-0.981364223,-0.018833513,-0.284601907,-0.555473159,0.177916836,-0.23715331,-0.843453993,-0.086953543,0.057636121,-0.027026697,0.757404609,1.982199681,0.36146465,-1.021171653,-0.278297425,-0.96037825,-1.371122728,-1.032650695,0.052135373,-0.407917748,0.558803151,-2.052713574,-0.075944747,0.456169437,1.549789656,0.076232255,-1.195644474,-0.026293712,-0.983891658,0.503057259,-0.495547564,-0.871869066,-1.273525057,1.273409879,-0.236769689,1.07824233,0.887026868,-0.888115038,-0.440157351,-1.368726215,-2.562297227,-1.045923115,-1.436555685,-0.835877349,-0.851496564,-0.634876429,0.384761166
